Channel,trl,rip_start,rip_end,rip_peak,rip_dur,entropy,surprise,meanEnt,rt,trl_num,subI
2,12,732,745,739,0.03,1.876012049,2.129283017,1.615496731,891,32,1
2,15,499,511,501,0.028,1.866864201,1.925999419,1.599903985,569,35,1
2,16,802,813,812,0.026,1.851316511,1.222392421,1.576868843,521,39,1
2,17,164,175,166,0.026,1.836171475,3.10433666,1.581066496,602,40,1
2,17,872,883,882,0.026,1.836171475,3.10433666,1.581066496,602,40,1
2,19,470,482,473,0.028,1.921928095,2.321928095,1.921928095,977,42,1
2,20,306,322,313,0.036,1.752715279,1.584962501,1.811885275,481,46,1
2,44,449,460,455,0.026,1.842370993,2.807354922,1.854508493,556,84,1
2,48,133,148,138,0.034,1.784159128,1.584962501,1.75333195,649,89,1
2,48,804,820,811,0.036,1.784159128,1.584962501,1.75333195,649,89,1
2,49,712,724,716,0.028,1.705587262,1.321928095,1.729485791,347,92,1
2,55,946,957,950,0.026,1.770894436,3.321928095,1.652562134,531,107,1
2,58,461,474,462,0.03,1.795434021,1.30256277,1.60291237,680,114,1
2,58,722,746,734,0.052,1.795434021,1.30256277,1.60291237,680,114,1
2,68,52,64,59,0.028,1.610577243,3.807354922,1.730489953,690,131,1
2,72,726,737,733,0.026,1.785475297,1,1.694418043,450,137,1
2,84,67,78,68,0.026,1.336025341,0.502500341,1.625571662,375,151,1
2,87,186,200,195,0.032,1.323273564,0.493040011,1.599903985,457,155,1
2,87,303,321,313,0.04,1.323273564,0.493040011,1.599903985,457,155,1
2,87,608,621,615,0.03,1.323273564,0.493040011,1.599903985,457,155,1
2,88,248,259,254,0.026,1.301791313,3.285402219,1.595856128,819,156,1
2,88,476,487,481,0.026,1.301791313,3.285402219,1.595856128,819,156,1
2,93,822,833,827,0.026,1.685475297,1,1.809451329,422,167,1
2,94,385,398,387,0.03,1.617189573,0.874469118,1.790855108,492,168,1
2,96,314,335,321,0.046,1.471602261,0.736965594,1.729485791,444,172,1
2,97,427,442,433,0.034,1.423794941,0.678071905,1.722827722,426,173,1
2,98,771,786,775,0.034,1.378418853,2.087462841,1.722586231,995,174,1
2,99,461,476,470,0.034,1.372706962,1.925999419,1.691740681,440,176,1
2,99,659,670,668,0.026,1.372706962,1.925999419,1.691740681,440,176,1
2,100,868,880,878,0.028,1.395461844,1.736965594,1.694418043,520,177,1
2,106,448,466,457,0.04,1.456011797,1.398549376,1.651696372,494,186,1
2,108,590,606,599,0.036,1.420376403,1.343954401,1.630952012,528,190,1
2,111,132,143,138,0.026,1.401535864,1.263034406,1.616850311,415,193,1
2,111,744,758,751,0.032,1.401535864,1.263034406,1.616850311,415,193,1
2,114,544,555,553,0.026,1.37379234,1,1.594767647,429,197,1
2,119,67,79,78,0.028,1.75,3,1.838032552,591,205,1
2,121,158,169,162,0.026,1.760964047,1,1.809451329,491,207,1
2,121,424,437,435,0.03,1.760964047,1,1.809451329,491,207,1
2,121,445,458,456,0.03,1.760964047,1,1.809451329,491,207,1
2,124,938,949,942,0.026,1.622556249,0.830074999,1.722827722,586,213,1
2,125,467,480,468,0.03,1.573988962,0.765534746,1.722586231,491,214,1
2,126,350,362,356,0.028,1.483226197,2.662965013,1.691740681,567,216,1
2,129,730,751,743,0.046,1.494540352,0.716207034,1.693544871,509,220,1
2,130,295,306,302,0.026,1.429275071,0.64385619,1.685848318,403,222,1
2,132,325,349,338,0.052,1.368843872,3.169925001,1.66341076,614,224,1
2,132,418,431,428,0.03,1.368843872,3.169925001,1.66341076,614,224,1
2,132,567,584,576,0.038,1.368843872,3.169925001,1.66341076,614,224,1
2,133,636,662,652,0.056,1.398661573,0.610053482,1.651696372,462,226,1
2,134,449,461,452,0.028,1.371950517,0.584962501,1.652562134,425,227,1
2,135,814,826,817,0.028,1.346186428,2.632268215,1.6391352,491,228,1
2,137,14,28,21,0.032,1.359022283,2.459431619,1.630952012,528,230,1
2,137,454,465,458,0.026,1.359022283,2.459431619,1.630952012,528,230,1
2,140,264,288,276,0.052,1.431773601,0.678071905,1.594767647,479,237,1
2,144,744,758,754,0.032,1.867633891,1.874469118,1.790855108,515,248,1
2,145,553,564,562,0.026,1.855388542,1.584962501,1.75333195,720,249,1
2,146,530,542,535,0.028,1.826245258,1.378511623,1.758195534,574,250,1
2,148,252,263,259,0.026,1.746465799,1.099535674,1.729485791,457,252,1
2,149,287,303,294,0.036,1.702819531,2.415037499,1.722827722,772,253,1
