subI,norm_count,entropy,time
5,1.733333333,1.3,400
5,0.866666667,1.3,600
5,0,1.3,800
5,0.533333333,1.4,-1000
5,0.533333333,1.4,-800
5,0.533333333,1.4,-600
5,0,1.4,-400
5,0,1.4,-200
5,1.066666667,1.4,0
5,1.066666667,1.4,200
5,0.533333333,1.4,400
5,0,1.4,600
5,0,1.4,800
5,0.833333333,1.5,-1000
5,0.833333333,1.5,-800
5,0.833333333,1.5,-600
5,3.333333333,1.5,-400
5,1.666666667,1.5,-200
5,0.833333333,1.5,0
5,0.833333333,1.5,200
5,1.666666667,1.5,400
5,0.833333333,1.5,600
5,0.833333333,1.5,800
5,0.545454545,1.6,-1000
5,0,1.6,-800
5,0,1.6,-600
5,0.545454545,1.6,-400
5,1.636363636,1.6,-200
5,0,1.6,0
5,0,1.6,200
5,0,1.6,400
5,0,1.6,600
5,0.545454545,1.6,800
5,2.90625,1.7,-1000
5,1.9375,1.7,-800
5,8.71875,1.7,-600
5,2.90625,1.7,-400
5,0.96875,1.7,-200
5,0.96875,1.7,0
5,3.875,1.7,200
5,0,1.7,400
5,4.84375,1.7,600
5,2.90625,1.7,800
5,1.851851852,1.8,-1000
5,6.481481481,1.8,-800
5,0.925925926,1.8,-600
5,0.925925926,1.8,-400
5,1.851851852,1.8,-200
5,2.777777778,1.8,0
5,4.62962963,1.8,200
5,0.925925926,1.8,400
5,1.851851852,1.8,600
5,0.925925926,1.8,800
5,0,1.9,-1000
5,0,1.9,-800
5,0,1.9,-600
5,0,1.9,-400
5,0,1.9,-200
5,1,1.9,0
5,0,1.9,200
5,0,1.9,400
5,2,1.9,600
5,0,1.9,800
6,NaN,0.8,-1000
6,NaN,0.8,-800
6,NaN,0.8,-600
6,NaN,0.8,-400
6,NaN,0.8,-200
6,NaN,0.8,0
6,NaN,0.8,200
6,NaN,0.8,400
6,NaN,0.8,600
6,NaN,0.8,800
6,NaN,0.9,-1000
6,NaN,0.9,-800
6,NaN,0.9,-600
6,NaN,0.9,-400
6,NaN,0.9,-200
6,NaN,0.9,0
6,NaN,0.9,200
6,NaN,0.9,400
6,NaN,0.9,600
6,NaN,0.9,800
6,NaN,1,-1000
6,NaN,1,-800
6,NaN,1,-600
6,NaN,1,-400
6,NaN,1,-200
6,NaN,1,0
6,NaN,1,200
6,NaN,1,400
6,NaN,1,600
6,NaN,1,800
6,NaN,1.1,-1000
6,NaN,1.1,-800
6,NaN,1.1,-600
6,NaN,1.1,-400
6,NaN,1.1,-200
6,NaN,1.1,0
6,NaN,1.1,200
6,NaN,1.1,400
6,NaN,1.1,600
6,NaN,1.1,800
6,0,1.2,-1000
6,1,1.2,-800
6,0,1.2,-600
6,0,1.2,-400
6,1,1.2,-200
6,0,1.2,0
6,0,1.2,200
6,0,1.2,400
6,0,1.2,600
6,1,1.2,800
6,2.428571429,1.3,-1000
6,0,1.3,-800
6,2.428571429,1.3,-600
6,1.619047619,1.3,-400
6,2.428571429,1.3,-200
6,0.80952381,1.3,0
6,2.428571429,1.3,200
6,0.80952381,1.3,400
6,0,1.3,600
6,0.80952381,1.3,800
6,0.764705882,1.4,-1000
6,0.764705882,1.4,-800
6,0.764705882,1.4,-600
6,0.764705882,1.4,-400
6,0.764705882,1.4,-200
6,0.764705882,1.4,0
6,1.529411765,1.4,200
6,0,1.4,400
6,2.294117647,1.4,600
6,1.529411765,1.4,800
6,0.371428571,1.5,-1000
6,0.371428571,1.5,-800
6,0.371428571,1.5,-600
6,0.371428571,1.5,-400
6,0,1.5,-200
6,0,1.5,0
6,0.742857143,1.5,200
6,1.114285714,1.5,400
6,1.114285714,1.5,600
6,0.371428571,1.5,800
6,0.458333333,1.6,-1000
6,0,1.6,-800
6,0.916666667,1.6,-600
6,0.458333333,1.6,-400
6,0.916666667,1.6,-200
6,0.458333333,1.6,0
6,0.916666667,1.6,200
6,0,1.6,400
6,0,1.6,600
6,0.916666667,1.6,800
6,1.058823529,1.7,-1000
6,4.235294118,1.7,-800
6,3.705882353,1.7,-600
6,2.117647059,1.7,-400
6,1.058823529,1.7,-200
6,1.588235294,1.7,0
6,1.058823529,1.7,200
6,2.647058824,1.7,400
6,0.529411765,1.7,600
6,1.058823529,1.7,800
6,1.830508475,1.8,-1000
6,3.050847458,1.8,-800
6,0,1.8,-600
6,3.050847458,1.8,-400
6,6.711864407,1.8,-200
6,1.220338983,1.8,0
6,1.220338983,1.8,200
6,0.610169492,1.8,400
6,3.050847458,1.8,600
6,1.220338983,1.8,800
6,1.176470588,1.9,-1000
6,3.529411765,1.9,-800
6,1.176470588,1.9,-600
6,0.588235294,1.9,-400
6,2.352941176,1.9,-200
6,5.294117647,1.9,0
6,2.352941176,1.9,200
6,1.764705882,1.9,400
